Prefix,Opcode(0x),Opcode(decimal),Literals,sub_rom_sel,sr1_eax,sr1_rm,sr2_rm,sr1_needed,sr2_needed,ld_sr1,ld_sr2,reg_op_override,mod_rm_pr,mm1_needed,mm2_needed,eip_change,CF_needed,DF_needed,AF_needed,sr3_eax,sr3_esp,sr2_ecx,cmps_op,cxchg_op,ret_op,stack_write,stack_read,seg2_sel,seg3_needed,seg3_sel[2:0],,,seg3_sel_over,stack_off_sel_16[1:0],,stack_off_sel_32[1:0],,imm_sel_16[1:0],,imm_sel_32[1:0],,mem_rd_size[1:0],,mem_rd_size_no_over,mem_wr_size[1:0],,mem_wr_size_no_over,reg_rw_size[1:0],,reg_rw_size_no_over,sr1_sel_reg[1:0],,sr1_sel_mem[1:0],,sr2_sel_reg[1:0],,sr2_sel_mem[1:0],,mm_sr1_sel_H,EIP_EFLAGS_sel,mem_rd_addr_sel,ld_seg,dseg[2:0],,,ld_mmx,df_val,CF_expected,ZF_expected,cond_wr_CF,cond_wr_ZF,wr_reg1_data_sel,wr_reg2_data_sel,wr_seg_data_sel[1:0],,wr_eip_alu_res_sel,wr_mem_data_sel[1:0],,wr_mem_addr_sel,alu1_op1[3:0],alu1_op2[3:0],alu1_op3[3:0],alu2_op[3:0],alu3_op[4:0],alu1_op_size[1:0],,alu_op_size_no_over,ld_flag_CF,ld_flag_PF,ld_flag_AF,ld_flag_ZF,ld_flag_SF,ld_flag_DF,ld_flag_OF,inst_size_16[2:0],,,inst_size_32[2:0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,21,33,/r,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,x,x,x,x,x,x,x,x,x,x,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,x,x,0,0,x,x,x,0,x,x,x,0,0,0,x,x,x,x,0,0,0,0001,0001,0001,xxxx,xxxxx,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,22,34,/r,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,x,x,x,x,x,x,x,x,x,x,0,0,1,x,x,x,0,0,1,0,0,0,0,0,0,1,1,x,x,0,0,x,x,x,0,x,x,x,0,0,0,x,x,x,x,x,x,x,0001,0001,0001,xxxx,xxxxx,0,0,1,1,1,0,1,1,0,1,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,23,35,/r,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,x,x,x,x,x,x,x,x,x,x,1,0,0,x,x,x,1,0,0,0,0,0,0,0,0,1,1,x,x,0,0,x,x,x,0,x,x,x,0,0,0,x,x,x,x,x,x,x,0001,0001,0001,xxxx,xxxxx,1,0,0,1,1,0,1,1,0,1,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,24,36,ib,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,x,x,x,x,x,x,0,0,0,0,x,x,x,x,x,x,0,0,1,0,0,0,0,1,0,1,0,x,x,x,0,x,x,x,0,x,x,x,0,0,0,x,x,x,x,x,x,x,0001,0001,0001,xxxx,xxxxx,0,0,1,1,1,0,1,1,0,1,0,1,0,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25,37,iw,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,x,x,x,x,x,x,0,1,1,0,x,x,x,x,x,x,1,0,0,0,0,0,0,1,0,1,0,x,x,x,0,x,x,x,0,x,x,x,0,0,0,x,x,x,x,x,x,x,0001,0001,0001,xxxx,xxxxx,1,0,0,1,1,0,1,1,0,1,0,1,1,1,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,27,39,,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,x,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,0,0,1,0,0,0,0,x,x,x,x,x,x,x,0,x,x,x,0,x,x,x,0,0,0,x,x,x,x,x,x,x,1100,1100,1100,xxxx,xxxxx,0,0,1,1,1,1,1,1,0,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,40,64,rw,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,1,0,0,0,0,0,0,x,x,x,x,x,x,x,0,x,x,x,0,x,x,x,0,0,0,x,x,x,x,x,x,x,1000,1000,1000,xxxx,xxxxx,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,41,65,rw,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,1,0,0,0,0,0,0,x,x,x,x,x,x,x,0,x,x,x,0,x,x,x,0,0,0,x,x,x,x,x,x,x,1000,1000,1000,xxxx,xxxxx,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0F,42,66,/r,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,xxxx,xxxx,xxxx,xxxx,xxxxx,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,43,67,rw,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,1,0,0,0,0,0,0,x,x,x,x,x,x,x,0,x,x,x,0,x,x,x,0,0,0,x,x,x,x,x,x,x,1000,1000,1000,xxxx,xxxxx,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,44,68,rw,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,1,0,0,0,0,0,0,x,x,x,x,x,x,x,0,x,x,x,0,x,x,x,0,0,0,x,x,x,x,x,x,x,1000,1000,1000,xxxx,xxxxx,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45,69,rw,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,1,0,0,0,0,0,0,x,x,x,x,x,x,x,0,x,x,x,0,x,x,x,0,0,0,x,x,x,x,x,x,x,1000,1000,1000,xxxx,xxxxx,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,46,70,rw,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,1,0,0,0,0,0,0,x,x,x,x,x,x,x,0,x,x,x,0,x,x,x,0,0,0,x,x,x,x,x,x,x,1000,1000,1000,xxxx,xxxxx,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,47,71,rw,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,x,0,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,1,0,0,0,0,0,0,x,x,x,x,x,x,x,0,x,x,x,0,x,x,x,0,0,0,x,x,x,x,x,x,x,1000,1000,1000,xxxx,xxxxx,1,0,0,0,1,1,1,1,0,1,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,50,80,rw,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,x,x,x,x,0,1,1,0,x,x,x,x,x,x,x,1,0,0,1,0,0,0,0,0,0,x,x,x,x,x,x,x,0,x,x,x,0,x,x,x,0,0,x,1,x,x,x,0,0,1,0100,0100,0100,0110,xxxxx,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,51,81,rw,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,x,x,x,x,0,1,1,0,x,x,x,x,x,x,x,1,0,0,1,0,0,0,0,0,0,x,x,x,x,x,x,x,0,x,x,x,0,x,x,x,0,0,x,1,x,x,x,0,0,1,0100,0100,0100,0110,xxxxx,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,52,82,rw,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,x,x,x,x,0,1,1,0,x,x,x,x,x,x,x,1,0,0,1,0,0,0,0,0,0,x,x,x,x,x,x,x,0,x,x,x,0,x,x,x,0,0,x,1,x,x,x,0,0,1,0100,0100,0100,0110,xxxxx,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,53,83,rw,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,x,x,x,x,0,1,1,0,x,x,x,x,x,x,x,1,0,0,1,0,0,0,0,0,0,x,x,x,x,x,x,x,0,x,x,x,0,x,x,x,0,0,x,1,x,x,x,0,0,1,0100,0100,0100,0110,xxxxx,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,54,84,rw,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,x,x,x,x,0,1,1,0,x,x,x,x,x,x,x,1,0,0,1,0,0,0,0,0,0,x,x,x,x,x,x,x,0,x,x,x,0,x,x,x,0,0,x,1,x,x,x,0,0,1,0100,0100,0100,0110,xxxxx,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,55,85,rw,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,x,x,x,x,0,1,1,0,x,x,x,x,x,x,x,1,0,0,1,0,0,0,0,0,0,x,x,x,x,x,x,x,0,x,x,x,0,x,x,x,0,0,x,1,x,x,x,0,0,1,0100,0100,0100,0110,xxxxx,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,56,86,rw,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,x,x,x,x,0,1,1,0,x,x,x,x,x,x,x,1,0,0,1,0,0,0,0,0,0,x,x,x,x,x,x,x,0,x,x,x,0,x,x,x,0,0,x,1,x,x,x,0,0,1,0100,0100,0100,0110,xxxxx,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,57,87,rw,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,x,x,x,x,0,1,1,0,x,x,x,x,x,x,x,1,0,0,1,0,0,0,0,0,0,x,x,x,x,x,x,x,0,x,x,x,0,x,x,x,0,0,x,1,x,x,x,0,0,1,0100,0100,0100,0110,xxxxx,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,58,88,rw,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,x,x,x,x,0,0,0,0,x,x,x,x,1,0,0,x,x,x,1,0,0,1,1,1,1,x,x,x,x,x,x,1,0,x,x,x,0,x,x,x,0,0,0,1,x,x,x,x,x,x,0100,0100,0100,0100,xxxxx,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,59,89,rw,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,x,x,x,x,0,0,0,0,x,x,x,x,1,0,0,x,x,x,1,0,0,1,1,1,1,x,x,x,x,x,x,1,0,x,x,x,0,x,x,x,0,0,0,1,x,x,x,x,x,x,0100,0100,0100,0100,xxxxx,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5A,90,rw,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,x,x,x,x,0,0,0,0,x,x,x,x,1,0,0,x,x,x,1,0,0,1,1,1,1,x,x,x,x,x,x,1,0,x,x,x,0,x,x,x,0,0,0,1,x,x,x,x,x,x,0100,0100,0100,0100,xxxxx,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5B,91,rw,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,x,x,x,x,0,0,0,0,x,x,x,x,1,0,0,x,x,x,1,0,0,1,1,1,1,x,x,x,x,x,x,1,0,x,x,x,0,x,x,x,0,0,0,1,x,x,x,x,x,x,0100,0100,0100,0100,xxxxx,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,5C,92,rw,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,x,x,x,x,0,0,0,0,x,x,x,x,1,0,0,x,x,x,1,0,0,1,1,1,1,x,x,x,x,x,x,1,0,x,x,x,0,x,x,x,0,0,0,1,x,x,x,x,x,x,0100,0100,0100,0100,xxxxx,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
